Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Jordan,Aruba,2018,Import,Food Products,18.66,0.66,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United Arab Emirates,2018,Import,Food Products,85705.85,10.41,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Argentina,2018,Import,Food Products,151176.85,57.93,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Australia,2018,Import,Food Products,323.4,0.28,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Austria,2018,Import,Food Products,12207.14,15.35,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Belgium,2018,Import,Food Products,38293.75,25.81,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Bangladesh,2018,Import,Food Products,723.34,1.85,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Bulgaria,2018,Import,Food Products,3359.96,12.9,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Bahrain,2018,Import,Food Products,3881.47,3.54,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Belarus,2018,Import,Food Products,7.35,0.86,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Brazil,2018,Import,Food Products,20836.31,5.91,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Canada,2018,Import,Food Products,5703.14,12.34,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Switzerland,2018,Import,Food Products,10167.73,5.82,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Chile,2018,Import,Food Products,295.23,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,China,2018,Import,Food Products,18093.1,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cote d'Ivoire,2018,Import,Food Products,514.16,66,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Colombia,2018,Import,Food Products,454.99,2.12,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cuba,2018,Import,Food Products,45.39,64.43,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cyprus,2018,Import,Food Products,717,1.42,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Czech Republic,2018,Import,Food Products,1781.16,4.39,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Germany,2018,Import,Food Products,31348.92,3.37,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Dominica,2018,Import,Food Products,17.06,1.64,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Denmark,2018,Import,Food Products,3567.28,4.25,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Algeria,2018,Import,Food Products,44093.94,55.33,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ecuador,2018,Import,Food Products,144.35,2.46,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Egypt, Arab Rep.",2018,Import,Food Products,79934.4,14.32,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Spain,2018,Import,Food Products,19040.5,5.42,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Finland,2018,Import,Food Products,814.76,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,France,2018,Import,Food Products,37204.67,7.8,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Free Zones,2018,Import,Food Products,2165.47,1.96,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United Kingdom,2018,Import,Food Products,33611.53,13.81,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ghana,2018,Import,Food Products,1251.04,89.27,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Greece,2018,Import,Food Products,3634.07,6.84,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Guatemala,2018,Import,Food Products,205.33,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Hong Kong, China",2018,Import,Food Products,2.39,0.02,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Croatia,2018,Import,Food Products,10591.56,76.98,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Hungary,2018,Import,Food Products,737.59,2.39,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Indonesia,2018,Import,Food Products,21578.57,17.76,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,India,2018,Import,Food Products,40841.47,7.2,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ireland,2018,Import,Food Products,52778.55,54.07,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Iran, Islamic Rep.",2018,Import,Food Products,3251.36,14.91,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Iraq,2018,Import,Food Products,114.08,4.96,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Israel,2018,Import,Food Products,11.49,0.08,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Italy,2018,Import,Food Products,29320.92,4.67,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Jamaica,2018,Import,Food Products,13.28,8.22,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Japan,2018,Import,Food Products,533.17,0.13,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Kenya,2018,Import,Food Products,21.29,0.14,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Cambodia,2018,Import,Food Products,98.87,5.63,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Korea, Rep.",2018,Import,Food Products,1623.81,0.36,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Kuwait,2018,Import,Food Products,7327.45,16.39,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Lebanon,2018,Import,Food Products,15206.68,20.61,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Libya,2018,Import,Food Products,11.97,100,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Sri Lanka,2018,Import,Food Products,325.51,0.88,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Lithuania,2018,Import,Food Products,343.21,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Latvia,2018,Import,Food Products,260.19,0.11,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Morocco,2018,Import,Food Products,10518.21,53.51,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Mexico,2018,Import,Food Products,1768.65,0.59,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Macedonia, FYR",2018,Import,Food Products,56.52,15.43,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Malta,2018,Import,Food Products,2122.97,80.82,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Myanmar,2018,Import,Food Products,59.94,10.96,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Mozambique,2018,Import,Food Products,653.64,79.09,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Mauritius,2018,Import,Food Products,17.59,26.94,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Malawi,2018,Import,Food Products,4339,99.97,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Malaysia,2018,Import,Food Products,4951.21,4.06,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Nicaragua,2018,Import,Food Products,4.51,0.08,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Netherlands,2018,Import,Food Products,73529.03,31.29,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Norway,2018,Import,Food Products,75.19,0.23,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,New Zealand,2018,Import,Food Products,204.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Other Asia, nes",2018,Import,Food Products,760.61,0.21,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Oman,2018,Import,Food Products,6040.12,12.38,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Pakistan,2018,Import,Food Products,3739.84,10.75,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Peru,2018,Import,Food Products,46.72,2.47,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Philippines,2018,Import,Food Products,525.8,7.24,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Poland,2018,Import,Food Products,21886.44,20.33,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Portugal,2018,Import,Food Products,2429.02,5.72,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Occ.Pal.Terr,2018,Import,Food Products,6091.53,12.62,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Romania,2018,Import,Food Products,471.76,0.13,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Russian Federation,2018,Import,Food Products,15965.73,4.61,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Saudi Arabia,2018,Import,Food Products,206607.1,6.13,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Serbia, FR(Serbia/Montenegro)",2018,Import,Food Products,423.45,18.93,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Singapore,2018,Import,Food Products,4821.16,17.82,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Sierra Leone,2018,Import,Food Products,37.08,100,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,El Salvador,2018,Import,Food Products,4.15,0.33,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Sudan,2018,Import,Food Products,82.77,0.22,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Slovak Republic,2018,Import,Food Products,488.77,2.47,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Slovenia,2018,Import,Food Products,402.06,4.12,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Sweden,2018,Import,Food Products,1875.35,2.35,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Syrian Arab Republic,2018,Import,Food Products,8489.99,12.08,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Thailand,2018,Import,Food Products,41528.2,22.82,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Tunisia,2018,Import,Food Products,2350.09,13.11,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Turkey,2018,Import,Food Products,46794.64,6.07,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Tanzania,2018,Import,Food Products,1687.71,86.93,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Uganda,2018,Import,Food Products,35.26,1.61,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Ukraine,2018,Import,Food Products,1925.62,1.12,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United States,2018,Import,Food Products,43738.86,2.48,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Uzbekistan,2018,Import,Food Products,18.59,0.85,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Vietnam,2018,Import,Food Products,4762.13,2.74,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Yemen,2018,Import,Food Products,3.8,2.16,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,South Africa,2018,Import,Food Products,2148.54,6.28,,,,,,,,,,,,,,,,,,,,,,,,
